epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,117.105,0.68999,0.42211,0.88904,0.89033,0.84152,0.87656,0.61396,1.0018,0.64385,1.05516,0.000266535,0.000266535,0.000266535
68,118.832,0.65352,0.41428,0.87523,0.8794,0.85603,0.8742,0.61323,1.00163,0.65705,1.06133,0.000258922,0.000258922,0.000258922
69,120.546,0.65005,0.4081,0.86788,0.87383,0.8459,0.87286,0.61617,0.99927,0.64915,1.0669,0.000251309,0.000251309,0.000251309
70,122.268,0.65006,0.41412,0.89071,0.87644,0.84076,0.87589,0.62869,0.97652,0.63433,1.05815,0.000243696,0.000243696,0.000243696
71,124.055,0.67617,0.41242,0.87892,0.85231,0.85101,0.88154,0.63151,1.00579,0.64458,1.07873,0.000236083,0.000236083,0.000236083
72,125.828,0.66476,0.41203,0.88276,0.81248,0.87487,0.86403,0.61114,0.98597,0.64463,1.06439,0.00022847,0.00022847,0.00022847
73,127.553,0.68175,0.41641,0.87779,0.8248,0.87441,0.8653,0.60991,0.97697,0.64646,1.05859,0.000220857,0.000220857,0.000220857
74,129.287,0.66116,0.42055,0.88555,0.88123,0.832,0.87719,0.62445,0.98802,0.64838,1.05495,0.000213244,0.000213244,0.000213244
75,131.007,0.63767,0.3996,0.87052,0.88859,0.83768,0.8773,0.62498,0.99152,0.62506,1.04604,0.000205631,0.000205631,0.000205631
76,132.735,0.63949,0.40051,0.88536,0.88549,0.85142,0.87252,0.61892,0.98774,0.61885,1.0539,0.000198018,0.000198018,0.000198018
77,134.469,0.63807,0.39769,0.87465,0.87924,0.86042,0.87167,0.61735,0.98465,0.61793,1.05728,0.000190404,0.000190404,0.000190404
78,136.186,0.63079,0.39107,0.87812,0.88008,0.86345,0.86677,0.62462,0.9785,0.61117,1.04305,0.000182791,0.000182791,0.000182791
79,137.907,0.63062,0.40493,0.87412,0.87954,0.85529,0.86899,0.63053,0.97405,0.61011,1.04711,0.000175178,0.000175178,0.000175178
80,139.631,0.62943,0.39765,0.87914,0.86344,0.8615,0.87094,0.62252,0.97059,0.60531,1.04954,0.000167565,0.000167565,0.000167565
81,141.349,0.60866,0.38369,0.8722,0.86171,0.85797,0.86829,0.62185,0.96205,0.60108,1.04092,0.000159952,0.000159952,0.000159952
82,143.077,0.59862,0.38087,0.87286,0.86281,0.85436,0.86678,0.61666,0.96978,0.60333,1.03948,0.000152339,0.000152339,0.000152339
83,144.803,0.62736,0.39513,0.87427,0.86776,0.8534,0.86896,0.61878,0.97382,0.60067,1.03705,0.000144726,0.000144726,0.000144726
84,146.522,0.60958,0.38529,0.8749,0.88922,0.84554,0.86869,0.61789,0.97339,0.59988,1.03847,0.000137113,0.000137113,0.000137113
85,148.245,0.60239,0.37977,0.86753,0.883,0.84613,0.86945,0.61857,0.97333,0.60719,1.0408,0.0001295,0.0001295,0.0001295
86,149.973,0.65863,0.40454,0.88569,0.8617,0.85743,0.86779,0.62469,0.9758,0.6112,1.04578,0.000121887,0.000121887,0.000121887
87,151.691,0.60721,0.38223,0.86432,0.85389,0.85767,0.87297,0.62283,0.97349,0.61678,1.04743,0.000114273,0.000114273,0.000114273
88,153.412,0.60631,0.3814,0.85865,0.85674,0.86215,0.86965,0.61914,0.97502,0.63062,1.05045,0.00010666,0.00010666,0.00010666
89,155.134,0.58749,0.38312,0.86054,0.8701,0.84501,0.86632,0.61636,0.9835,0.63085,1.05574,9.90472e-05,9.90472e-05,9.90472e-05
90,156.862,0.57766,0.36429,0.85535,0.87153,0.84809,0.87274,0.62121,0.98174,0.61945,1.05569,9.14341e-05,9.14341e-05,9.14341e-05
91,158.978,0.59505,0.38142,0.84516,0.85294,0.86119,0.87199,0.61897,0.97895,0.60948,1.04853,8.3821e-05,8.3821e-05,8.3821e-05
92,160.703,0.60133,0.38827,0.85203,0.87229,0.8439,0.87347,0.61475,0.98078,0.60677,1.04589,7.62079e-05,7.62079e-05,7.62079e-05
93,162.403,0.56839,0.35369,0.84278,0.88654,0.84242,0.87346,0.62108,0.97903,0.60659,1.05017,6.85948e-05,6.85948e-05,6.85948e-05
94,164.106,0.56946,0.35384,0.84449,0.86114,0.85352,0.87076,0.61541,0.98406,0.61044,1.0602,6.09817e-05,6.09817e-05,6.09817e-05
95,165.808,0.55826,0.34452,0.84306,0.86559,0.84834,0.86972,0.6159,0.98216,0.6165,1.06581,5.33686e-05,5.33686e-05,5.33686e-05
96,167.511,0.53861,0.34479,0.84014,0.86013,0.85127,0.87037,0.61609,0.9759,0.61782,1.06345,4.57555e-05,4.57555e-05,4.57555e-05
97,169.22,0.54411,0.34172,0.83286,0.86691,0.84479,0.87195,0.61882,0.97519,0.61329,1.05961,3.81424e-05,3.81424e-05,3.81424e-05
98,170.947,0.5607,0.3511,0.84662,0.86464,0.84564,0.87151,0.62286,0.97081,0.61387,1.05794,3.05293e-05,3.05293e-05,3.05293e-05
99,172.637,0.54726,0.33743,0.84347,0.86181,0.84659,0.86927,0.62157,0.974,0.61082,1.05964,2.29162e-05,2.29162e-05,2.29162e-05
100,174.323,0.54741,0.34482,0.85724,0.86538,0.84695,0.86686,0.62075,0.97459,0.61176,1.06069,1.53031e-05,1.53031e-05,1.53031e-05
