epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,111.329,0.70481,0.42591,0.88337,0.86515,0.85301,0.86261,0.60851,0.94418,0.54143,1.00362,0.000470375,0.000470375,0.000470375
65,112.973,0.68016,0.41135,0.87843,0.84525,0.84273,0.86551,0.6146,0.94119,0.54686,0.99828,0.000458,0.000458,0.000458
66,114.668,0.71122,0.41678,0.87986,0.89153,0.82002,0.85666,0.6174,0.93878,0.54757,0.99906,0.000445625,0.000445625,0.000445625
67,116.356,0.68475,0.41258,0.88447,0.97243,0.79731,0.87225,0.63071,0.91957,0.51268,0.98896,0.00043325,0.00043325,0.00043325
68,118.042,0.66736,0.41239,0.87774,0.94186,0.80785,0.86656,0.63131,0.94518,0.53084,0.98961,0.000420875,0.000420875,0.000420875
69,119.671,0.70021,0.42578,0.88918,0.92041,0.80485,0.8566,0.62692,0.93427,0.5286,0.99249,0.0004085,0.0004085,0.0004085
70,121.417,0.68447,0.41402,0.87381,0.90282,0.81498,0.85032,0.61742,0.9381,0.5205,0.99474,0.000396125,0.000396125,0.000396125
71,123.205,0.67192,0.40886,0.88308,0.92081,0.81913,0.8614,0.62348,0.91958,0.49329,0.98834,0.00038375,0.00038375,0.00038375
72,124.864,0.65307,0.39499,0.87987,0.9223,0.82606,0.86094,0.61148,0.92079,0.48708,0.99183,0.000371375,0.000371375,0.000371375
73,126.512,0.63964,0.38524,0.87502,0.92588,0.82699,0.85904,0.61063,0.91766,0.49385,0.99361,0.000359,0.000359,0.000359
74,128.184,0.67851,0.3986,0.87474,0.92298,0.82115,0.85961,0.60073,0.9294,0.51155,0.99611,0.000346625,0.000346625,0.000346625
75,129.855,0.66263,0.40039,0.88263,0.90969,0.8268,0.85832,0.60396,0.94185,0.52268,1.00733,0.00033425,0.00033425,0.00033425
76,131.529,0.63525,0.38619,0.86461,0.86979,0.84157,0.86573,0.6057,0.94512,0.5156,1.00342,0.000321875,0.000321875,0.000321875
77,133.18,0.64073,0.37976,0.86003,0.86732,0.83856,0.86584,0.60711,0.94949,0.5233,1.00224,0.0003095,0.0003095,0.0003095
78,134.856,0.63667,0.38049,0.86832,0.90093,0.82417,0.85732,0.61585,0.95177,0.51374,0.99518,0.000297125,0.000297125,0.000297125
79,136.549,0.63403,0.37813,0.855,0.89031,0.84041,0.86329,0.62576,0.92787,0.51297,1.00368,0.00028475,0.00028475,0.00028475
80,138.263,0.63035,0.3782,0.86047,0.88174,0.85052,0.86828,0.61528,0.93845,0.50206,1.00531,0.000272375,0.000272375,0.000272375
81,139.912,0.61635,0.36848,0.8645,0.88064,0.85401,0.86689,0.62333,0.94573,0.49102,1.00187,0.00026,0.00026,0.00026
82,141.594,0.59935,0.36492,0.85759,0.90856,0.83738,0.87067,0.62576,0.9334,0.49201,1.00358,0.000247625,0.000247625,0.000247625
83,143.268,0.60351,0.36578,0.86829,0.90639,0.83837,0.86662,0.62661,0.92693,0.49667,0.99927,0.00023525,0.00023525,0.00023525
84,144.921,0.6079,0.36076,0.85162,0.92106,0.84292,0.87073,0.61545,0.92372,0.49144,0.99637,0.000222875,0.000222875,0.000222875
85,146.582,0.61861,0.36679,0.86946,0.92167,0.83825,0.87146,0.61614,0.92821,0.49755,1.00021,0.0002105,0.0002105,0.0002105
86,148.225,0.60919,0.35947,0.85535,0.8724,0.85349,0.87247,0.62058,0.92204,0.49169,0.99967,0.000198125,0.000198125,0.000198125
87,149.882,0.60742,0.3671,0.86883,0.94754,0.81496,0.87299,0.62116,0.92107,0.49077,0.99741,0.00018575,0.00018575,0.00018575
88,151.532,0.57668,0.3495,0.84874,0.94464,0.80898,0.86988,0.62466,0.91554,0.48846,0.99353,0.000173375,0.000173375,0.000173375
89,153.163,0.56094,0.34277,0.84308,0.94148,0.80849,0.86567,0.62355,0.91108,0.48324,0.99154,0.000161,0.000161,0.000161
90,154.811,0.58477,0.35489,0.85206,0.94134,0.81042,0.86525,0.62991,0.91206,0.47784,0.99185,0.000148625,0.000148625,0.000148625
91,156.938,0.54521,0.34094,0.84222,0.87593,0.83757,0.86599,0.62261,0.92164,0.47368,0.99138,0.00013625,0.00013625,0.00013625
92,158.585,0.52825,0.32609,0.84197,0.90862,0.81554,0.86474,0.6221,0.92066,0.47962,0.99681,0.000123875,0.000123875,0.000123875
93,160.247,0.51803,0.32401,0.83385,0.84867,0.84438,0.86375,0.61862,0.92045,0.48456,0.99516,0.0001115,0.0001115,0.0001115
94,161.927,0.53687,0.32309,0.82874,0.90921,0.81705,0.86757,0.62154,0.92885,0.48451,0.99731,9.9125e-05,9.9125e-05,9.9125e-05
95,163.587,0.52665,0.31838,0.83211,0.87498,0.85349,0.87055,0.62012,0.9347,0.48329,0.99867,8.675e-05,8.675e-05,8.675e-05
96,165.218,0.51539,0.31416,0.83268,0.9288,0.82875,0.87465,0.62504,0.93028,0.47729,1.00146,7.4375e-05,7.4375e-05,7.4375e-05
97,166.848,0.50027,0.30737,0.8254,0.87077,0.84324,0.86392,0.62704,0.92407,0.47184,1.00015,6.2e-05,6.2e-05,6.2e-05
98,168.494,0.49772,0.30497,0.82392,0.87902,0.8403,0.86415,0.62437,0.92395,0.46705,0.99965,4.9625e-05,4.9625e-05,4.9625e-05
99,170.167,0.50723,0.30243,0.82894,0.89819,0.82002,0.84877,0.62181,0.91979,0.46442,0.9975,3.725e-05,3.725e-05,3.725e-05
100,171.849,0.50402,0.30555,0.82488,0.91169,0.84705,0.8746,0.62395,0.91725,0.45942,0.99826,2.4875e-05,2.4875e-05,2.4875e-05
