epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,38.2433,0.33537,10.1288,0.53092,0.28815,0.93512,0.99297,1,0.995,0.91647,0,0,0,0,0.54838,11.2635,0.85089,0.48613,0.91413,0.00101296,0.00101296,0.00101296
48,39.0568,0.36211,9.94487,0.47696,0.31899,0.96674,0.99103,1,0.995,0.94313,0,0,0,0,0.46966,11.3998,0.84003,0.48066,0.76012,0.00101593,0.00101593,0.00101593
49,39.8447,0.41909,9.72699,0.46631,0.37065,0.9875,0.99103,1,0.995,0.94313,0,0,0,0,0.46966,11.3998,0.84003,0.48066,0.76012,0.00101811,0.00101811,0.00101811
50,40.6623,0.4368,9.54429,0.50321,0.38822,0.95341,0.98882,1,0.995,0.9391,0,0,0,0,0.48571,11.3878,0.851,0.47508,0.74974,0.0010195,0.0010195,0.0010195
51,41.4704,0.43276,9.70458,0.50032,0.3525,0.98824,0.98882,1,0.995,0.9391,0,0,0,0,0.48571,11.3878,0.851,0.47508,0.74974,0.00101,0.00101,0.00101
52,42.276,0.45727,10.4184,0.48721,0.39491,0.99375,0.99167,1,0.995,0.94783,0,0,0,0,0.44776,11.1045,0.80802,0.45286,0.71062,0.0009902,0.0009902,0.0009902
53,43.067,0.3896,9.78314,0.47731,0.31531,0.96402,0.99167,1,0.995,0.94783,0,0,0,0,0.44776,11.1045,0.80802,0.45286,0.71062,0.0009704,0.0009704,0.0009704
54,43.8965,0.41163,9.58804,0.47151,0.3183,0.9918,0.99402,1,0.995,0.94134,0,0,0,0,0.45366,10.8666,0.8301,0.41421,0.72716,0.0009506,0.0009506,0.0009506
55,44.6915,0.4137,10.0959,0.4693,0.38505,0.96624,0.99402,1,0.995,0.94134,0,0,0,0,0.45366,10.8666,0.8301,0.41421,0.72716,0.0009308,0.0009308,0.0009308
56,45.52,0.40743,9.9817,0.47224,0.35321,0.94204,0.99427,1,0.995,0.92232,0,0,0,0,0.4866,10.8232,0.8141,0.42709,0.71697,0.000911,0.000911,0.000911
57,46.3152,0.37304,10.0132,0.49046,0.28963,0.94066,0.99427,1,0.995,0.92232,0,0,0,0,0.4866,10.8232,0.8141,0.42709,0.71697,0.0008912,0.0008912,0.0008912
