epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,932.15,1.1986,0.66102,0.87702,0.89852,0.79692,0.8716,0.52087,1.37667,0.92659,0.92457,0.0008714,0.0008714,0.0008714
59,947.746,1.21476,0.65589,0.86589,0.90664,0.8,0.88186,0.51462,1.3704,0.86381,0.91509,0.0008516,0.0008516,0.0008516
60,963.397,1.16761,0.64922,0.86306,0.89078,0.80615,0.88242,0.53097,1.33479,0.84799,0.91633,0.0008318,0.0008318,0.0008318
61,979.353,1.19594,0.65003,0.85921,0.89577,0.81977,0.89427,0.54195,1.35678,0.83044,0.92602,0.000812,0.000812,0.000812
62,995.335,1.22508,0.64492,0.86834,0.93793,0.76308,0.8761,0.50021,1.4227,0.88332,0.9345,0.0007922,0.0007922,0.0007922
63,1011.4,1.19425,0.65863,0.867,0.91164,0.79367,0.88268,0.52425,1.37763,0.85952,0.92231,0.0007724,0.0007724,0.0007724
64,1027.08,1.18476,0.63807,0.86955,0.94932,0.73538,0.8772,0.48655,1.47291,0.8955,0.93802,0.0007526,0.0007526,0.0007526
65,1042.42,1.17234,0.64284,0.86373,0.89906,0.79481,0.87091,0.52848,1.33013,0.871,0.92127,0.0007328,0.0007328,0.0007328
66,1057.87,1.15621,0.61114,0.84987,0.92052,0.78769,0.88501,0.51802,1.3681,0.87762,0.92408,0.000713,0.000713,0.000713
67,1073.18,1.15835,0.63015,0.8546,0.90892,0.77846,0.87472,0.5173,1.36869,0.87901,0.92516,0.0006932,0.0006932,0.0006932
68,1088.72,1.14709,0.58846,0.85649,0.90027,0.79692,0.89005,0.50293,1.40591,0.83893,0.92396,0.0006734,0.0006734,0.0006734
69,1103.87,1.11685,0.59081,0.84589,0.92214,0.77846,0.87111,0.48555,1.48369,0.89392,0.94478,0.0006536,0.0006536,0.0006536
70,1119.59,1.16047,0.59621,0.85788,0.86056,0.83555,0.88686,0.52844,1.38714,0.85772,0.92739,0.0006338,0.0006338,0.0006338
71,1135.33,1.12141,0.57945,0.86409,0.88844,0.79077,0.88223,0.49475,1.438,0.86596,0.9292,0.000614,0.000614,0.000614
72,1150.89,1.08104,0.56344,0.84572,0.90525,0.78462,0.88102,0.5313,1.38598,0.87242,0.92347,0.0005942,0.0005942,0.0005942
73,1166.59,1.06588,0.5598,0.85079,0.92636,0.79077,0.89405,0.54674,1.32648,0.80623,0.92135,0.0005744,0.0005744,0.0005744
74,1182.31,1.12371,0.5824,0.84937,0.93143,0.79692,0.89978,0.53666,1.35705,0.81586,0.92682,0.0005546,0.0005546,0.0005546
75,1197.96,1.12143,0.57156,0.84599,0.92516,0.79881,0.89474,0.52963,1.34916,0.85147,0.9234,0.0005348,0.0005348,0.0005348
76,1213.58,1.1087,0.57403,0.84298,0.91583,0.77538,0.88539,0.53465,1.32012,0.82245,0.92494,0.000515,0.000515,0.000515
77,1229.46,1.07079,0.55786,0.84064,0.90378,0.82154,0.9035,0.54997,1.34118,0.78726,0.92451,0.0004952,0.0004952,0.0004952
78,1245.64,1.0665,0.53691,0.8493,0.90755,0.83385,0.90887,0.54801,1.37803,0.83916,0.9271,0.0004754,0.0004754,0.0004754
