epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,36.8956,0.60124,9.23715,0.44265,0.46287,1.1115,0.6148,1,0.995,0.293,0,0,0,0,2.45266,10.2944,0.50873,6.71654,3.10148,0.00101,0.00101,0.00101
52,37.6098,0.68451,9.29295,0.44791,0.5334,1.13149,0.66269,1,0.995,0.22398,0,0,0,0,2.63525,10.3221,0.47638,4.02324,2.88157,0.0009902,0.0009902,0.0009902
53,38.3033,0.65102,10.1636,0.48075,0.46842,1.11001,0.66269,1,0.995,0.22398,0,0,0,0,2.63525,10.3221,0.47638,4.02324,2.88157,0.0009704,0.0009704,0.0009704
54,39.0184,0.59098,9.35472,0.45185,0.47583,1.10988,0.69423,1,0.995,0.22396,0,0,0,0,3.18469,9.47976,0.49367,4.75015,3.60918,0.0009506,0.0009506,0.0009506
55,39.7133,0.72343,9.11437,0.43307,0.49756,1.11671,0.69423,1,0.995,0.22396,0,0,0,0,3.18469,9.47976,0.49367,4.75015,3.60918,0.0009308,0.0009308,0.0009308
56,40.4351,0.74422,9.7807,0.44524,0.52584,1.12345,0.58321,1,0.995,0.34815,0,0,0,0,2.53428,9.26038,0.48535,5.70756,2.23247,0.000911,0.000911,0.000911
57,41.1359,0.67195,8.7331,0.44641,0.48988,1.11142,0.58321,1,0.995,0.34815,0,0,0,0,2.53428,9.26038,0.48535,5.70756,2.23247,0.0008912,0.0008912,0.0008912
58,41.8675,0.58623,9.34751,0.44085,0.45682,1.05824,0.86016,1,0.995,0.49726,0,0,0,0,2.33849,10.3829,0.49362,4.12889,2.61129,0.0008714,0.0008714,0.0008714
59,42.5622,0.59658,8.54732,0.4383,0.45002,1.17802,0.86016,1,0.995,0.49726,0,0,0,0,2.33849,10.3829,0.49362,4.12889,2.61129,0.0008516,0.0008516,0.0008516
60,43.2769,0.63768,8.77457,0.43864,0.47139,1.09554,0.93981,1,0.995,0.59683,0,0,0,0,1.91449,10.8235,0.48577,1.82976,1.90716,0.0008318,0.0008318,0.0008318
61,43.9731,0.56587,8.98382,0.42064,0.43486,1.08855,0.93981,1,0.995,0.59683,0,0,0,0,1.91449,10.8235,0.48577,1.82976,1.90716,0.000812,0.000812,0.000812
62,44.6929,0.68209,9.35217,0.42799,0.54454,1.11979,0.97581,1,0.995,0.72155,0,0,0,0,1.2409,10.1954,0.46025,0.63373,1.36197,0.0007922,0.0007922,0.0007922
63,45.3911,0.53403,8.91453,0.44034,0.41694,1.03545,0.97581,1,0.995,0.72155,0,0,0,0,1.2409,10.1954,0.46025,0.63373,1.36197,0.0007724,0.0007724,0.0007724
64,46.1087,0.65791,8.6809,0.41252,0.50103,1.1167,0.97016,1,0.995,0.6312,0,0,0,0,1.1369,10.357,0.48347,1.33718,1.28761,0.0007526,0.0007526,0.0007526
65,46.801,0.51548,9.1562,0.43479,0.41081,1.00869,0.97016,1,0.995,0.6312,0,0,0,0,1.1369,10.357,0.48347,1.33718,1.28761,0.0007328,0.0007328,0.0007328
66,47.5186,0.59486,7.82444,0.4055,0.47201,1.09634,0.88589,1,0.995,0.82177,0,0,0,0,0.85011,10.042,0.47588,0.78163,1.24022,0.000713,0.000713,0.000713
